branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_650.0,650 K,config_84,0.765813,5.252832,,,,,,,,
temperature_650.0,650 K,config_85,0.737838,5.252410,,,,,,,,
temperature_650.0,650 K,config_86,0.853088,5.183514,,,,,,,,
temperature_650.0,650 K,config_87,0.761677,5.254253,,,,,,,,
temperature_650.0,650 K,config_88,0.702773,5.257071,,,,,,,,
temperature_650.0,650 K,config_89,0.739078,5.250511,,,,,,,,
temperature_650.0,650 K,config_90,0.724420,5.253685,,,,,,,,
temperature_650.0,650 K,config_91,0.800808,5.256341,,,,,,,,
temperature_650.0,650 K,config_92,0.697717,5.267223,,,,,,,,
temperature_650.0,650 K,config_93,0.769864,5.200577,,,,,,,,
